GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flower-store-web,flower.store.order,FlowerItem,6,28,0,0,2,6,2,3,2,3
flower-store-web,flower.store.order,Order,22,61,4,4,7,17,8,6,4,6
flower-store-web,flower.store.service,FlowerService,18,0,0,0,4,0,4,0,4,0
flower-store-web,flower.store,FlowerPack,6,17,0,0,2,5,2,2,2,2
flower-store-web,flower.store,FlowerColor,0,28,0,0,0,7,0,3,0,3
flower-store-web,flower.store,Store,0,41,0,4,0,10,0,5,0,3
flower-store-web,flower.store,Chamomile,6,0,0,0,3,0,1,0,1,0
flower-store-web,flower.store,Tulip,0,6,0,0,0,3,0,1,0,1
flower-store-web,flower.store,Flower,14,40,0,0,4,13,4,8,4,8
flower-store-web,flower.store,DemoApplication,8,0,0,0,3,0,2,0,2,0
flower-store-web,flower.store,Rose,0,9,0,0,0,4,0,1,0,1
flower-store-web,flower.store,FlowerType,0,21,0,0,0,4,0,1,0,1
flower-store-web,flower.store,FlowerBucket,0,35,0,2,0,9,0,4,0,3
flower-store-web,flower.store.decorator,AbstractDecorator,0,14,0,0,0,5,0,3,0,3
flower-store-web,flower.store.decorator,BasketDecorator,0,13,0,0,0,4,0,3,0,3
flower-store-web,flower.store.decorator,RibbonDecorator,0,13,0,0,0,4,0,3,0,3
flower-store-web,flower.store.decorator,PaperDecorator,0,13,0,0,0,4,0,3,0,3
flower-store-web,flower.store.payment,CreditCardPaymentStrategy,10,46,2,2,2,12,4,4,2,4
flower-store-web,flower.store.payment,PayPalPaymentStrategy,0,19,0,0,0,7,0,3,0,3
flower-store-web,flower.store.delivery,DHLDeliveryStrategy,0,16,0,0,0,6,0,4,0,4
flower-store-web,flower.store.delivery,PostDeliveryStrategy,0,16,0,0,0,6,0,4,0,4
flower-store-web,flower.store.controller,PaymentController,77,0,8,0,16,0,7,0,3,0
flower-store-web,flower.store.controller,DeliveryController,89,0,8,0,21,0,9,0,5,0
flower-store-web,flower.store.controller,FlowerController,17,0,0,0,4,0,4,0,4,0
